pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
3973	A child is waking up	There is no child waking up	3	CONTRADICTION
1691	There is no milk being drunk by a cat	The milk is being drunk by a cat	3.7	CONTRADICTION
6041	The small child is wading through the water and is being guided by another person	A young child is watering a plant with splashes	2	NEUTRAL
9015	A young girl with a heart tank top is raising her hands as she is playing on a slide	A young girl with a heart tank top is raising her hands as she is sliding	4.7	ENTAILMENT
6150	Two people are walking near the water	Two people are standing in the ocean and watching the sunset	3.4	NEUTRAL
948	Two toddlers are sleeping in a wagon, which is really small	Two toddlers are eating corndogs in a wagon, which is really small	3.4	NEUTRAL
5618	A man is severing the toe of an empty leather boot with a sword	A woman is severing the toe of an empty leather boot with a sword	4	NEUTRAL
5420	There is no woman peeling a potato	A woman is peeling a potato	4.5	CONTRADICTION
769	The kid is sliding in the snow	A boy at the bottom of a hill covered in snow is naked and is sitting on his knees	2.7	NEUTRAL
1045	A dog is near a ball colored in red, which is in the air	A dog is near the red ball in the air	4.9	ENTAILMENT
5886	A skateboarder is doing tricks on a half pipe	A man is skateboarding on a half pipe	4.4	ENTAILMENT
3589	A man is playing the drums	A man is disassembling the drum	3.385	NEUTRAL
528	A person, who is riding a bike, is wearing gear which is black	A biker is wearing gear which is black	4.7	ENTAILMENT
1368	There is no man playing a keyboard	A man is playing a keyboard	3.7	CONTRADICTION
3821	A woman is peppering green slices	The woman with a knife is slicing a pepper	3	NEUTRAL
8069	A white dog is running through a snowy trail	A dog is running on a snowy path	4.3	ENTAILMENT
5588	A cupcake is being eaten by a girl	A girl is eating a cupcake	5	ENTAILMENT
2405	The lady is slicing a tomato	Someone is cutting a tomato	4.7	ENTAILMENT
1967	The woman is happily playing a guitar, which is acoustic, and singing	The woman is playing a guitar, which is acoustic, and singing	4.5	ENTAILMENT
5970	A blond child is holding a yellow bottle	A boy has a blue face and dirt on the shirt	1.8	NEUTRAL
1026	An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers	A woman is wearing sunglasses of large size and is holding newspapers in both hands	3.6	NEUTRAL
6499	An electronic man is held as a device	A man is holding up an electronic device	2.5	NEUTRAL
358	A dog is chasing another and is holding a piece of wood in its mouth	Two dogs are running and carrying an object in their mouths	3.9	NEUTRAL
8362	A boy in a striped shirt is jumping behind a water fountain	A boy in a striped shirt is jumping in front of a water fountain	4.2	NEUTRAL
3150	A man is performing tricks with a soccer ball	A man is running away from the soccer ball	3.1	NEUTRAL
9706	A black and white dog with a large branch is standing in the field	A black and white dog with a large branch is running in the field	4.2	CONTRADICTION
1255	The hungry woman is eating	A woman is mixing eggs	2.5	NEUTRAL
4638	A keyboard is being played by a man	A man is playing a harp	2.4	NEUTRAL
366	A person who plays soccer is kicking a ball into the goal	A soccer ball is rolling into a goal net	4.1	NEUTRAL
5634	A kid is playing the piano	A kid is playing the guitar	3	NEUTRAL
7218	A brown dog is running across the yard with a toy in its mouth	A brown dog is dropping a colored toy from its mouth	4.1	NEUTRAL
4086	There is no man drawing a picture	A man is drawing a picture	3.9	CONTRADICTION
7723	A man is spraying a super soaker into the mouth of a dog	A man is squirting water into the mouth of a white dog with a squirt gun	4	NEUTRAL
4597	A person is slicing some onions	A hamster is singing	1	NEUTRAL
9665	A shirtless man is escorting a horse that is pulling a carriage along a dirty road	A shirtless man is leading a horse that is pulling a carriage	4.3	ENTAILMENT
113	Two teams are competing in a baseball game	A player is running with the ball	3	NEUTRAL
7612	A young woman is getting a tattoo on her hand	The woman in the white sweater is drawing a tattoo on the hand of a teenager	3.515	NEUTRAL
397	There is no man writing a note near a bike	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	2.7	NEUTRAL
643	A person is standing in front of a rock with a rope, which is pink	A person is climbing a rock with a rope, which is pink	3.9	NEUTRAL
2539	The person is quickly slicing a vegetable	The person is slicing a vegetable	4.6	ENTAILMENT
1291	A cat is swinging on a fan	A cat is stuck on a ceiling fan that is moving	4.1	NEUTRAL
3912	A few people are dancing	A group of people are dancing	4.5	ENTAILMENT
4277	An old woman is shaking hands with a man	An woman that is old is shaking hands with a man	4.9	ENTAILMENT
3803	A harp is being played with a hat by a man	A man in a hat is playing a harp	3.8	NEUTRAL
1169	There is no woman slicing a potato	A woman is slicing a potato	3.9	CONTRADICTION
2941	Two men are fighting in a cattle pen	Nobody is fighting in a cow pasture	3.3	NEUTRAL
5477	A person is frying food in a pan	A person is holding a skunk	1.3	NEUTRAL
9329	Three friends are making faces for the camera	Two men and a girl in front of a wood panel wall are posing with funny faces	3.365	NEUTRAL
3413	A big fish is catching a man	A man is catching a fish	2.6	NEUTRAL
8624	People are sitting against a wall	People are sitting near a wall	4.1	ENTAILMENT
8145	A woman in blue has a yellow ball in the mitt	A woman in blue has a yellow ball in the hand	3.8	NEUTRAL
9435	The black and white dog is running in a field	The black and white dog is running outdoors	4.4	ENTAILMENT
987	An adult is in the amphitheater and is talking to a boy	There is no adult in the amphitheater talking to a boy	4.3	CONTRADICTION
9840	Two people are sitting comfortably on the bench	A man is playing soccer	1.2	NEUTRAL
3043	A man is jumping a wall	A man is standing in front of a wall	3.1	NEUTRAL
5706	A man is reloading a shotgun	A man is firing a shotgun	3.7	NEUTRAL
2724	A woman on a boulder is lying on a blanket and reading a book	A woman on a rock is lying on a blanket and reading a book	4.615	ENTAILMENT
79	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction	3.635	NEUTRAL
1551	The men are acting on a stage	Mimes are performing on a stage	3.6	NEUTRAL
1467	Three men are jumping on a wall	Three men are jumping off a wall	4	CONTRADICTION
9931	A woman is playing an electric guitar	A kid is playing guitar	3	NEUTRAL
9829	A man with tattoos is lounging on a couch and is looking for a pencil	A cow is eating hay	1	NEUTRAL
2800	The woman is slicing an onion	An onion is being sliced by the woman	5	ENTAILMENT
5936	A man is putting vegetables into a pot	Someone is adding ingredients to a pot	4.3	ENTAILMENT
2589	A person is cutting some mushrooms	A person is putting away the mushrooms	3.5	NEUTRAL
3847	A cat is playing keyboards	There is no cat playing keyboards	3.9	CONTRADICTION
4975	Nobody is holding a hedgehog	Someone is holding a hedgehog	4.2	CONTRADICTION
312	A crowd of people is near the water	A crowd of people is far from the water	3.8	CONTRADICTION
2045	A cat is playing with a device	A playing device is amusing a cat	4.085	NEUTRAL
4376	A man is playing a guitar	There is no one playing a piano	2.7	NEUTRAL
8446	Two men are standing together and one is looking through binoculars	Two men are looking out and binoculars are being held by one of them	4	ENTAILMENT
7689	A young boy is jumping off a chair	A young boy is jumping onto a chair	4.4	CONTRADICTION
4329	A man is making a sketch	The man is drawing	4.9	ENTAILMENT
7537	A football player is running past an official carrying a football	A football player is carrying an official past a rolling football	4.1	NEUTRAL
6510	The brown dog and the black dog are in the grass	A little black dog is chasing a little brown dog	3.2	NEUTRAL
4260	The girl is spraying the plants with water	The boy is spraying the plants with water	3.4	NEUTRAL
8471	A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair	A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair	4.6	ENTAILMENT
3801	A man in a cap is playing a harp	A man in a hat is playing a harp	5	ENTAILMENT
5399	Eggs are being cracked into a bowl by a woman	A woman is cracking eggs into a bowl	4.9	ENTAILMENT
6589	A young girl is dancing	A young girl is standing on both legs	3.2	NEUTRAL
6200	A group of Asian girls are standing together	Two girls are laughing and other girls are watching them	2.4	NEUTRAL
3085	A woman is chopping broccoli	The woman is not chopping garlic	3.1	NEUTRAL
1336	The woman is measuring a man	The lady is measuring the ankle of another woman	3	NEUTRAL
1386	A person is not chopping an onion	A person is chopping an onion	4.4	CONTRADICTION
3657	A boy is filling a pitcher with water	A pitcher is being filled with water by a boy	5	ENTAILMENT
4989	A woman is riding a horse	A woman is frying something	1.5	NEUTRAL
2284	The cat is playing passionately with a watermelon	The cat is playing with a watermelon	4.7	ENTAILMENT
3684	Runners are racing down a track	Men are running a race	3.9	NEUTRAL
1981	A truck is quickly going down a hill	A truck is quickly going up a hill	4	NEUTRAL
2115	The cat is licking milk from a saucer	The cat isn't licking milk from a saucer	3.4	CONTRADICTION
4001	A man is recklessly climbing a rope	A man is climbing a rope	4.3	ENTAILMENT
4477	A man is punching a soccer ball	A man is mixing the content of a bowl	1.2	NEUTRAL
3836	A horse is being ridden in a creek by a man	The man is riding a horse by a creek	4.6	ENTAILMENT
3285	The young boy is running through the ocean waves	A child is running in and out of the ocean waves	4	ENTAILMENT
5154	A lemur is hanging on a cord	A woman is buttering a piece of bread	1	NEUTRAL
5739	A woman is dancing	A man is puking	1.2	NEUTRAL
3257	A man is playing the guitar	The man is playing the guitar	5	ENTAILMENT
5520	A man is drawing on a digital dry erase board	A person is drawing some figures	3.2	NEUTRAL
6072	A person in a blue jacket is jumping off of a tall cement wall	The man is not performing a large jump	2.735	NEUTRAL
1585	A badger is shrewdly digging the earth	The badger isn't burrowing a hole	2.7	CONTRADICTION
7479	Two guys are sitting around a table and holding beers in their hands	Two blokes are sitting around a table and holding beers in their hands	4.6	ENTAILMENT
531	A black helmet is being worn by a man who is pushing a bicycle	One man is wearing a black helmet and pushing a bicycle	4.8	ENTAILMENT
4290	The woman is cutting cooked octopus	A woman is cutting an octopus	4.2	ENTAILMENT
1259	The woman is eating	A woman is mixing eggs	2.2	NEUTRAL
6922	A man is uninterestedly holding a sign and is seeking money	A bearded man is standing by a shopping cart and is holding a cardboard sign	3.8	NEUTRAL
8407	A black dog is jumping off a dock into a pond	A black dog is jumping on a dock into a pond	4.7	ENTAILMENT
2183	A few men are watching cricket	A few men are playing cricket	3.6	NEUTRAL
9646	A brown and white dog is running through the river	An animal is emerging from a lake	2.5	NEUTRAL
6958	Four people are performing music outdoors	Four people are silently standing outdoors	3	NEUTRAL
3673	A man and a woman are walking	It is raining on a walking man	2.5	NEUTRAL
3866	A man is going into the water	A man is coming out of the water	3.1	NEUTRAL
2566	Three women are dancing	A few women are dancing	4.6	ENTAILMENT
5058	There is no man cutting a potato	A man is cutting a potato	3.7	CONTRADICTION
3047	A man is jumping off a low wall	A man is jumping a wall	4.2	ENTAILMENT
205	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	A motorcyclist is riding a motorbike along a roadway	3.3	NEUTRAL
7219	A brown dog is running breathlessly across the yard with a toy in its mouth	A brown dog is carrying a colored toy in the grass	3.9	NEUTRAL
7687	A little boy with brown hair is jumping off of a brown chair onto the floor	There is no little boy with brown hair jumping off of a brown chair onto the floor	3.9	CONTRADICTION
2851	The woman is cooking eggs	The woman is cooking something	4.4	ENTAILMENT
1910	The windows are being cleaned by a man	There is no window being cleaned by a man	3.4	CONTRADICTION
4364	A person is not tearing paper	A person is tearing paper	3	CONTRADICTION
2909	A girl is applying makeup to her face	There is no girl applying makeup to her face	4.3	CONTRADICTION
8781	Three men are lying on a hill and looking at the mountains and sky	Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars	3.1	NEUTRAL
7209	A dog with a blue blanket is running through the grass	A dog with a blue muzzle is running around the yard with a jacket	3.3	NEUTRAL
2540	The person isn't slicing a vegetable	The person is slicing a vegetable	4.085	CONTRADICTION
9876	A person is rinsing a steak with water	A man is buttering a slice of bread	1.7	NEUTRAL
9259	A man by a brick wall is wearing a mask around his mouth and a hair net	A woman by a brick wall is wearing a mask around her mouth and a hair net	3.2	NEUTRAL
2195	A man is sprinkling seasoning on several sliced and buttered loaves of bread	There is no man sprinkling seasoning on several sliced and buttered loaves of bread	3.4	CONTRADICTION
2668	A few ferrets are climbing out of the cage	Ferrets are climbing down from a shelf	3.1	NEUTRAL
8288	A soccer player is sitting on the field and is drinking water	A man is sitting on the grass and drinking from a water bottle	3.7	NEUTRAL
2221	Someone is falling off a horse	The man is not knocked off of a horse	3.9	NEUTRAL
5463	A guy is mowing the lawn	There is no guy mowing the lawn	3.6	CONTRADICTION
4342	A man is eating a banana	A man is eating a fruit	4.6	ENTAILMENT
2047	The boy is playing in the mud	There is no cat playing with a device	1.2	NEUTRAL
6877	Two dogs are resting on the beach	Two white dogs are running and jumping along a beach	2.9	NEUTRAL
6775	There is no dog jumping for a Frisbee in the snow	A dog is jumping for a Frisbee in the snow	3.6	CONTRADICTION
81	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	2.4	NEUTRAL
813	A girl from Asia, in front of a brick window, doesn't look surprised	A girl is wearing a t-shirt and has her mouth open.	2.1	NEUTRAL
2731	A woman on a rock is lying on a blanket and reading a book	There is no seated woman singing a song and playing the guitar	2.1	NEUTRAL
5976	The man in a cowboy hat is walking through a market and is putting a hand in his pocket	The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket	3.6	CONTRADICTION
3957	The boy is riding a bike on the top of a fence made of metal	A biker is riding along the top of a fence	3.8	ENTAILMENT
9607	There is no dog standing on one leg and is waiting for a soccer ball	A dog is standing on one leg and is waiting for a soccer ball	4.2	CONTRADICTION
9531	A white car and a yellow car are racing down the track	A white bike and a yellow bike are racing down the track	3.2	NEUTRAL
6735	Three people are standing by a bench under some palm trees	Three people are sitting on a bench under some palm trees	3.6	NEUTRAL
367	A soccer ball is rolling into a goal net	A soccer player is kicking a ball out of the goal	3.2	NEUTRAL
9281	Two women with dogs are walking on a forest path	Two dogs and two people are sitting in the woods	2.9	NEUTRAL
8834	A man with a white moustache is sitting on a balcony and is looking at the road below	A man with a white moustache is standing on a balcony and is looking at the road below	4.4	NEUTRAL
8517	Five people are running with three dogs in the green field beside the road	Five people are standing with three dogs in the green field beside the road	3.5	NEUTRAL
4912	A baby is not crawling happily	A cat is walking on a hardwood floor	1.1	NEUTRAL
1606	The man is operating a stenograph	A man is typing on a machine used for stenography	4.7	ENTAILMENT
8936	One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is diving into the water	Two males are standing on a cliff edge and one is jumping into the water	4.1	ENTAILMENT
2207	Two kids are pushing an inflatable crocodile in a pool	Two kids are pushing past a crocodile in an inflatable pool	3.2	NEUTRAL
14	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	3.5	NEUTRAL
6995	Two boys are wearing brown shirts and are tugging at a rope on a wooden platform	Two twin preteen boys are playing with cards	2.1	NEUTRAL
5264	A person is folding a sheet	A person is folding a piece of paper	3.5	NEUTRAL
3639	A man is holding a frog	A frog is being handled by the woman	3.5	NEUTRAL
1627	A man is mixing a few ingredients in a bowl	Some ingredients are being mixed in a bowl by a person	4.5	ENTAILMENT
4041	A person is riding a jetski in the waves	A woman is parking a Seadoo	2.6	NEUTRAL
3697	The men are in the suitcases that are being packed in the trunk of a car	The men are putting suitcases into the trunk of a car	2.7	NEUTRAL
2198	A man is putting garlic on some slices of bread	A man is sprinkling seasoning on several sliced and buttered loaves of bread	4.3	ENTAILMENT
8453	A man on a motorcycle is turning around a corner	A man on a motorcycle is going around a corner	4.9	ENTAILMENT
3779	A woman is playing the keyboard and a man is dancing	A woman is dancing and a man is playing the keyboard	3.6	NEUTRAL
2543	Someone is cutting a tomato	The person is slicing a vegetable	4.6	ENTAILMENT
3909	The man is singing and playing the guitar	The guitar is being played by a man	4.3	ENTAILMENT
4074	A horse is being ridden by a man	A man is riding a horse	5	ENTAILMENT
2447	A baby rhino is shunning an adult rhino	A baby rhino is following an adult rhino	3.5	CONTRADICTION
3214	The little cat is playing with a toy	The kitten is playing with a toy	4.8	ENTAILMENT
9133	A man in a black jersey is standing in a gym	A woman in a black jersey is standing in a gym	3.5	NEUTRAL
8313	A young girl with painted face is standing next to some other children	Children are being dressed in costumes and playing a game	3.1	NEUTRAL
7551	A young girl in a blue leotard is jumping in the air	There is no girl in blue jumping in the air	3.3	CONTRADICTION
7740	A dog is sleeping on a beach covered by snow	A dog is walking along a snowdrift	2.7	NEUTRAL
6532	Several women are taking off pink bunny ears and are pointing to the left	Women are wearing bunny ears and race numbers and are pointing at something in the distance	3.4	NEUTRAL
5434	A man is reading the email	Someone is reading the email	4.6	ENTAILMENT
1341	There is no man making a phone call	A man is making a phone call	3.4	CONTRADICTION
8266	Some people and vehicles are on a crowded street	Pedestrians and cars are moving through a traffic jam in the big city	3.8	ENTAILMENT
9569	An elderly woman is sitting on a bench and is wearing a gray jacket and black pants	An elder man is sitting on a bench and is wearing a gray jacket and black pants	3.5	NEUTRAL
3454	The man is not chopping a tree trunk with an axe	The man is chopping a tree trunk with an axe	3.9	CONTRADICTION
9723	A racer is leaning on a racing motorcycle	A man is leaning on a racing motorcycle	4.3	NEUTRAL
3102	The man is pacing around a room	A man is sitting on the floor in a room and strumming a guitar	2.5	NEUTRAL
8949	A woman in a bikini is pulling a dog on a leash at the beach	A woman in a bikini is pulling a cat on a leash at the beach	3.9	NEUTRAL
3370	The woman is cleaning a shrimp	Someone is cleaning an animal	3.9	ENTAILMENT
4961	A child is walking down the street and a jeep is not pulling up	A man in a car is pulling up beside a woman that is who along a road	2.2	NEUTRAL
5549	A man is working on the computer	The man is feeding the snake with a mouse	1.1	NEUTRAL
2606	The monkey is brushing a bull dog	A bull dog is brushing the monkey	3.9	NEUTRAL
4155	A man is playing a wooden flute	There is no man playing a wooden flute	3.7	CONTRADICTION
3351	Someone is typing	Someone is putting away a keyboard	2.9	NEUTRAL
3887	A man is singing passionately	A man is singing	4.8	ENTAILMENT
331	A group of people is on a beach	A group of people is near the sea	4	ENTAILMENT
5540	A group of people are dancing in a show	A group of people are marching	2.3	NEUTRAL
3005	There is no man in a suit standing at a microphone and singing	A man in a suit is standing at a microphone and singing	3.1	CONTRADICTION
9096	A dog with a blue collar is playing with the ball in the garden	A dog with a blue collar is playing with the ball outside	4.4	ENTAILMENT
506	A man wearing a dyed black shirt is sitting at the table and laughing	There is no man wearing a shirt dyed black, sitting at the table and laughing	3.7	CONTRADICTION
7511	There are no dogs fighting for a frisbee in a lake	Two brown dogs are playing with a frisbee in the water	3.9	NEUTRAL
3164	A box is being cut by a man	The man is cutting the tape on the box	3.4	NEUTRAL
7779	The muscular black man is dancing and the man behind him is wearing green beads	The muscular man is dancing and the man behind him is wearing green beads	4.4	ENTAILMENT
8400	There is no man playing guitar next to a drummer	A man is playing guitar next to a drummer	3.785	CONTRADICTION
269	A cowgirl is riding a brown horse and is cornering a barrel	The brown horse is near a red barrel at the rodeo	3.2	NEUTRAL
7665	A young lady in a bikini is lying on the beach	A girl in a black hat is wearing a bikini at the beach	3.7	NEUTRAL
7732	A child is experiencing a new world	A boy under an umbrella is being let go by his father who is wearing a blue coat	1.2	NEUTRAL
332	A group of people is on a beach	A group of people is on a mountain	2.6	NEUTRAL
2172	A woman is cracking an egg into a bowl	There is no woman cracking an egg into a bowl	3.8	CONTRADICTION
7375	A man is standing on the top of the rocks with clouds behind them	A person is sitting on a mountain top	3.4	NEUTRAL
5361	The lady is peeling the potato	A woman is not peeling a potato	4.2	CONTRADICTION
8944	A boy is playing a game with wooden blocks	A woman in blue shirt is looking at her hand near a stack of blocks on table	2	NEUTRAL
56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	3.8	NEUTRAL
2874	The man is riding a mechanical bull	The man is riding a bull which is mechanical	4.8	ENTAILMENT
7335	A mountain is being climbed by two men	The men are climbing a mountain	4.7	ENTAILMENT
3422	A man is playing a harp	The man is playing a harp	5	ENTAILMENT
588	The children are playing in front of a large door	A group of boys are quiet in front of a large door made of wood	3.4	NEUTRAL
4573	Two women are happily dancing	Two women are dancing	4.6	ENTAILMENT
5677	A small dog is lying on a bed	A small dog is lying on the bed	5	ENTAILMENT
6077	A person wearing jeans is sitting on top of a horse saddle	There is no person wearing jeans sitting on top of a horse saddle	3.7	CONTRADICTION
4556	A man is shaking a container over a sink in the kitchen	There is no man shaking a container over a sink in the kitchen	3.4	CONTRADICTION
4886	A man is mixing vegetables in a pot	A person is stirring vegetables in a pot	4.7	ENTAILMENT
3972	A child is slowly waking up	A child is waking up	4.5	ENTAILMENT
2599	A tiger is walking around aimlessly	A tiger is pacing around a cage	4.4	NEUTRAL
2713	The man is clumsily kick boxing with a trainer	The man is kick boxing with a trainer	4.5	ENTAILMENT
5032	The man is talking about the telephone	The man is talking on the telephone	3.6	NEUTRAL
1429	A woman is brushing her feet	A woman is chopping an onion	1.2	NEUTRAL
7398	A man and a young boy are riding in a yellow kayak	A man and a young boy are jumping off of a yellow kayak	3.6	NEUTRAL
3364	A woman is cleaning a shrimp	The woman is cleaning a shrimp	4.9	ENTAILMENT
4196	A man is dancing	A man is praying fervently	1.7	NEUTRAL
7793	There is no person wearing grey pants who is airborne on a snowboard	A snowboarding man is jumping through the air	2.7	NEUTRAL
7224	A person with a green shirt is jumping high over the grass	A person without shirt is jumping high over the green grass	3.6	CONTRADICTION
6514	A little black dog is chasing a little brown dog	A brown dog and a black dog are in the grass	3.4	NEUTRAL
4919	A man is playing a guitar	There is no man singing and playing a guitar	4	NEUTRAL
2030	The man is practicing the guitar	The person is practicing the guitar	4.6	ENTAILMENT
6552	A child, who looks young, is standing in front of some trees	A small boy is standing in the forest	3.6	NEUTRAL
6480	The person is not standing on white ice	The person is standing on white ice	3.6	CONTRADICTION
4885	A person is stirring vegetables in a pot	There is no man mixing vegetables in a pot	3.2	NEUTRAL
5263	A man is riding a horse	The person is riding the horse	4.6	ENTAILMENT
5982	A man in a hat is walking through a store	The man in a cowboy hat is walking through a market and is putting a hand in his pocket	4.1	NEUTRAL
1651	A car is riskily jumping over a girl	One girl is jumping on the car	2.9	NEUTRAL
9689	A bicyclist is performing a trick over a heavily graphitized wall	A bicyclist is performing a trick over wall full of graffiti	4.8	ENTAILMENT
3303	A man and a woman are standing still in the woods	The man and woman are walking	3.2	NEUTRAL
9770	A woman is taking two eggs out of a pot of water	A man is playing a trumpet	1	NEUTRAL
5510	A man is playing the drums	A woman is playing the drums	4.2	NEUTRAL
3411	The man is catching a fish	A man is catching a fish	4.9	ENTAILMENT
9870	A white and tan dog is running through the tall and green grass	The lady is eating slices of meat	1	NEUTRAL
7794	A snowboarding man is jumping through the air	A person wearing grey pants is airborne on a snowboard	4	NEUTRAL
7543	A football player in a purple jersey is running with the ball for a touchdown	A football player is running into an official carrying a football	3.8	NEUTRAL
4946	A baby elephant is not eating a small tree	A baby elephant is eating a small tree	3.6	CONTRADICTION
6664	Two women with folded arms, who are young, are looking at the screen	Two women with black hair are standing in front of a plywood wall	2.5	NEUTRAL
7040	The motocross rider is wearing blue and black pants	A biker with a blue jacket, black pants and a white helmet is driving recklessly on dirt and people watch	3.3	NEUTRAL
1184	A man and a woman are hiking through a wooded area	A man and a woman are walking through a wooded area	4.5	ENTAILMENT
4659	A man is walking along a path through a wilderness	There is no man peeling an onion	1.1	NEUTRAL
6467	Two men are riding an orange raft on the shore	The orange rescue boat is rushing across the water	3.4	NEUTRAL
4265	The girl is spraying the plants with water	The girl is riding the horse	1.3	NEUTRAL
2426	A man is racing	A man is running	4.1	NEUTRAL
4442	A man is playing the guitar	A woman is putting on lipstick	1	NEUTRAL
9914	A woman is looking into the distance and people are walking between buildings behind	A man is playing a flute	1.1	NEUTRAL
133	A person is sitting and wearing a grass hat	A person is wearing a hat and is sitting on the grass	3.4	NEUTRAL
5123	A person is slicing a potato	There is no person slicing a potato	2.9	CONTRADICTION
3568	The piece of paper is not being cut	The piece of paper is being cut	4	CONTRADICTION
8493	A shirtless man is playing football on a field	A man with no shirt is holding a football	3.5	NEUTRAL
2333	A person near an onion has a cut	A person is cutting an onion	3.2	NEUTRAL
302	A nude lady is walking in front of a crowd in body paint	A nude crowd in body paint is walking in front of a lady 	3.1	NEUTRAL
8104	A woman is being smeared with brown substance and a blurry crowd is in the background	A topless woman is being covered in mud	3.4	NEUTRAL
279	The boy is wading through the blue ocean	A boy is standing in the cold water	3.3	NEUTRAL
7103	A child is sitting in a red and yellow toy car	There is no child sitting in a red and yellow toy car	2.9	CONTRADICTION
4996	An email is being read by a man	A person is peeling a banana	1	NEUTRAL
394	A man is sitting near a bike and is writing a note	A man is standing near a bike and is writing on a piece paper	3.6	NEUTRAL
1888	A man is passionately playing a guitar	One man is passionately playing the guitar	4.9	ENTAILMENT
2935	Two men are fighting in a cattle pen	Two men are fighting in a pen for cattle	4.6	ENTAILMENT
655	A young child is climbing a rock climbing wall which is indoors	A young kid is climbing a rock climbing wall which is indoors	4.7	ENTAILMENT
5023	The woman is not putting makeup on the man	A woman is painting a man's face	3.2	NEUTRAL
3755	A boy is looking at a calendar	A boy is shredding a calendar	3.2	NEUTRAL
